id,plant_id,account_type,category,is_active,plant_name,unit,    plant_condition,year,compensation_price,notes
163,PLTA0075,A,จ,1,จันทน์ จันทน์หอม จันทน์พม่า จันทน์ชะมด จันทน์ขาว,ต้น,ไม่มีผล/ขนาดเล็ก,2559,"1,000",
164,PLTA0075,A,จ,1,จันทน์ จันทน์หอม จันทน์พม่า จันทน์ชะมด จันทน์ขาว,ต้น,มีผล/ขนาดใหญ่,2559,"2,000",
165,PLTA0076,A,จ,1,จันทน์เทศ จันทน์บ้าน,ต้น,ไม่มีผล/ขนาดเล็ก,2559,95,
166,PLTA0076,A,จ,1,จันทน์เทศ จันทน์บ้าน,ต้น,มีผล/ขนาดใหญ่,2559,190,
167,PLTA0077,A,จ,1,จันทน์ผา จันทร์แดง ลักกะจันทน์ ก. ความสูงไม่ถึง 2.50 เมตร,ต้น,ไม่มีผล/ขนาดเล็ก,2559,2500,
168,PLTA0077,A,จ,1,จันทน์ผา จันทร์แดง ลักกะจันทน์ ก. ความสูงไม่ถึง 2.50 เมตร,ต้น,มีผล/ขนาดใหญ่,2559,2500,
169,PLTA0077,A,จ,1,จันทน์ผา จันทร์แดง ลักกะจันทน์ ข. ความสูงตั้งแต่ 2.50 เมตร ขึ้นไป,ต้น,ไม่มีผล/ขนาดเล็ก,2559,4500,
170,PLTA0077,A,จ,1,จันทน์ผา จันทร์แดง ลักกะจันทน์ ข. ความสูงตั้งแต่ 2.50 เมตร ขึ้นไป,ต้น,มีผล/ขนาดใหญ่,2559,4500,
171,PLTA0078,A,จ,1,จันทร์กระพ้อ,ต้น,ไม่มีผล/ขนาดเล็ก,2559,1050,
172,PLTA0078,A,จ,1,จันทร์กระพ้อ,ต้น,มีผล/ขนาดใหญ่,2559,2100,
173,PLTA0079,A,จ,1,จาก,กอ,ไม่มีผล/ขนาดเล็ก,2559,300,
174,PLTA0079,A,จ,1,จาก,กอ,มีผล/ขนาดใหญ่,2559,450,
175,PLTA0080,A,จ,1,จากค้อ,ต้น,ไม่มีผล/ขนาดเล็ก,2559,35,
176,PLTA0080,A,จ,1,จากค้อ,ต้น,มีผล/ขนาดใหญ่,2559,70,
177,PLTA0081,A,จ,1,จากทัง,ต้น,ไม่มีผล/ขนาดเล็ก,2559,35,
178,PLTA0081,A,จ,1,จากทัง,ต้น,มีผล/ขนาดใหญ่,2559,70,
179,PLTA0082,A,จ,1,จากน้ำ (มุงหลังคา) ก. ความสูงไม่ถึง 50 ซม.,ต้น,ไม่มีผล/ขนาดเล็ก,2559,ไม่จ่าย,
180,PLTA0082,A,จ,1,จากน้ำ (มุงหลังคา) ก. ความสูงไม่ถึง 50 ซม.,ต้น,มีผล/ขนาดใหญ่,2559,ไม่จ่าย,
181,PLTA0082,A,จ,1,จากน้ำ (มุงหลังคา) ข. ความสูง 50 ซม. ขึ้นไปถึง 1 เมตร,ต้น,ไม่มีผล/ขนาดเล็ก,2559,125,
182,PLTA0082,A,จ,1,จากน้ำ (มุงหลังคา) ข. ความสูง 50 ซม. ขึ้นไปถึง 1 เมตร,ต้น,มีผล/ขนาดใหญ่,2559,125,
183,PLTA0082,A,จ,1,จากน้ำ (มุงหลังคา) ค. ความสูงเกินกว่า 1 เมตร ขึ้นไป,ต้น,ไม่มีผล/ขนาดเล็ก,2559,250,
184,PLTA0082,A,จ,1,จากน้ำ (มุงหลังคา) ค. ความสูงเกินกว่า 1 เมตร ขึ้นไป,ต้น,มีผล/ขนาดใหญ่,2559,250,
185,PLTA0083,A,จ,1,จากสาคู,ต้น,ไม่มีผล/ขนาดเล็ก,2559,120,
186,PLTA0083,A,จ,1,จากสาคู,ต้น,มีผล/ขนาดใหญ่,2559,240,
187,PLTA0084,A,จ,1,จามจุรี ก้ามปู ฉำฉา ก้ามกุ้ง ตุ๊ดตู่ ลัง ก. ขนาดวงรอบลำต้นไม่ถึง 20 ซม.,ต้น,ไม่มีผล/ขนาดเล็ก,2559,ไม่จ่าย,
